Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
dataset_thema09-weka,1,1,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456203,50690,4825,45865,0,11.51864273,88.48135727,0,0.021194915,0.050207712,0.180510527,98.70784345,113.1902924,229377.3802,3.80E+07,-3.77E+07,4.525101207,748.9271778,-744.4020766,19702.04226,0.388677101,8.589357089,0.081655481,146,0.04770766,2333,0.95229234,46569,0.918344519,1642,0.058894716,0.081655481,0.068432154,0.029036725,0.547214327,0.041396625,0.095186427,0.073737152,0.926262848,0.904813573,0.075599484,0.095186427,0.081746889,0.019746607,0.523222235,0.063749545,0.033099952,0.095186427,2187.026,0.427,2158.59375,0.4375,2158593.75,437.5,1.86E+08,3.51E+07,3906388,29.77904912,14.2985716,'Number of leaves: 105709\nSize of the tree: 210591\n',210591,105709,105709
dataset_thema09-weka,1,2,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456203,50690,4767,45923,0,11.54864273,88.48345727,0,0.019805645,0.050239082,0.180626959,98.76948839,113.2632666,229379.3101,3.78E+07,-3.76E+07,4.525139279,746.3350497,-741.8099104,19392.83434,0.382577123,8.454482812,0.078299776,140,0.045560509,2228,0.954439491,46674,0.921700224,1648,0.059121622,0.078299776,0.067372474,0.028618886,0.550907973,0.04155304,0.094042217,0.073996341,0.926003659,0.905957783,0.074338531,0.094042217,0.080609162,0.018381551,0.522916809,0.063462343,0.032590261,0.094042217,2089.946,0.589,2067.015625,0.5,2067015.625,500,1.86E+08,3.51E+07,3906388,29.95068061,14.33557448,'Number of leaves: 105701\nSize of the tree: 210589\n',210589,105701,105701
dataset_thema09-weka,1,3,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456203,50690,4869,45821,0,11.31864273,88.34346968,0,0.022954558,0.050143101,0.180605593,98.58059209,113.2496118,229384.1771,3.82E+07,-3.80E+07,4.525235294,753.5393175,-749.0140822,20045.62247,0.395455168,8.73888632,0.089535534,160,0.046704701,2284,0.953295299,46619,0.910464466,1627,0.065466448,0.089535534,0.075632238,0.03687273,0.558799032,0.04358766,0.096054449,0.07278883,0.92721117,0.903945551,0.07721401,0.096054449,0.083174312,0.021480116,0.524102624,0.064345541,0.03365553,0.096054449,2002.441,0.397,1979.84375,0.40625,1979843.75,406.25,1.87E+08,3.51E+07,3906388,29.3746301,13.85693644,'Number of leaves: 106457\nSize of the tree: 212030\n',212030,106457,106457
dataset_thema09-weka,1,4,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4821,45868,0,11.3489273,88.93845727,0,0.021286054,0.050209892,0.180550017,98.71199673,113.2148858,229376.6387,3.79E+07,-3.76E+07,4.52517585,746.7295967,-742.2044209,19630.16117,0.387266688,8.558047271,0.081701175,146,0.046051286,2252,0.953948714,46650,0.918298825,1641,0.06088407,0.081701175,0.069772999,0.030968921,0.553206066,0.041796912,0.095109393,0.073593319,0.926406681,0.904890607,0.076258695,0.095109393,0.082125656,0.020082724,0.523185156,0.063720359,0.033822556,0.095109393,1764.868,0.458,1763.1875,0.390625,1763187.5,390.625,1.85E+08,3.51E+07,3906311,29.91576082,14.54268291,'Number of leaves: 105375\nSize of the tree: 209954\n',209954,105375,105375
dataset_thema09-weka,1,5,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4805,45884,0,11.51864273,88.48135727,0,0.021035888,0.050205338,0.180548669,98.7029026,113.2138573,229376.6777,3.81E+07,-3.79E+07,4.525176621,751.324928,-746.7997513,19933.15052,0.393244107,8.690138297,0.090095132,161,0.045151528,2208,0.954848472,46694,0.909904868,1626,0.067961165,0.090095132,0.077478345,0.039268787,0.566858492,0.045185771,0.094793742,0.073570764,0.926429236,0.905206258,0.075619508,0.094793742,0.081839366,0.019642307,0.522748613,0.063628699,0.033344813,0.094793742,1953.202,0.411,1950.515625,0.40625,1950515.625,406.25,1.86E+08,3.51E+07,3906311,29.49160567,14.21183657,'Number of leaves: 105940\nSize of the tree: 211061\n',211061,105940,105940
dataset_thema09-weka,1,6,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4996,45693,0,11.51864273,88.48135727,0,0.024948276,0.050128273,0.180328965,98.55136071,113.0760484,229378.8976,3.77E+07,-3.75E+07,4.525220415,744.6278331,-740.1026126,20177.72634,0.398069134,8.796679448,0.092893117,166,0.045110629,2206,0.954889371,46696,0.907106883,1621,0.069983137,0.092893117,0.079826881,0.041724104,0.555218754,0.043551007,0.098561818,0.073349216,0.926650784,0.901438182,0.078370954,0.098561818,0.084968653,0.023194533,0.524882268,0.064180649,0.034431803,0.098561818,1807.116,0.407,1805.25,0.40625,1805250,406.25,1.86E+08,3.51E+07,3906311,30.19787331,14.43791046,'Number of leaves: 106034\nSize of the tree: 211256\n',211256,106034,106034
dataset_thema09-weka,1,7,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4883,45806,0,11.54864273,88.48345727,0,0.02231554,0.050153274,0.180427086,98.60038527,113.1374103,229382.7914,3.78E+07,-3.75E+07,4.525297233,745.241693,-740.7163958,20231.27109,0.399125473,8.819873089,0.091214326,163,0.047135086,2305,0.952864914,46597,0.908785674,1624,0.066045381,0.091214326,0.076615746,0.037771914,0.555690318,0.043120514,0.096332538,0.07386389,0.92613611,0.903667462,0.077684556,0.096332538,0.083098375,0.021136982,0.524942208,0.06397637,0.035019785,0.096332538,1806.943,0.403,1805.453125,0.390625,1805453.125,390.625,1.86E+08,3.51E+07,3906311,30.08739569,14.28477739,'Number of leaves: 105561\nSize of the tree: 210320\n',210320,105561,105561
dataset_thema09-weka,1,8,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4874,45815,0,11.31864273,88.34346968,0,0.022331802,0.050165634,0.180422168,98.62503765,113.1347829,229375.5079,3.79E+07,-3.77E+07,4.525153543,748.261446,-743.7362925,20000.62052,0.394575165,8.719597265,0.087297146,156,0.042370455,2072,0.957629545,46830,0.912702854,1631,0.070017953,0.087297146,0.077708593,0.040418132,0.552343841,0.042522237,0.096154984,0.073590436,0.926409564,0.903845016,0.07642209,0.096154984,0.082871957,0.020816023,0.523732551,0.06397718,0.033590141,0.096154984,1800.868,0.391,1799.5,0.390625,1799500,390.625,1.86E+08,3.51E+07,3906311,29.88222297,14.24798706,'Number of leaves: 105892\nSize of the tree: 211030\n',211030,105892,105892
dataset_thema09-weka,1,9,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4881,45808,0,11.3489273,88.93845727,0,0.022636244,0.050179688,0.180647009,98.65270432,113.2758183,229374.5759,3.82E+07,-3.80E+07,4.525135156,754.3987113,-749.8735761,19706.22322,0.388767252,8.591284863,0.083333333,149,0.0471565,2306,0.9528435,46595,0.916666667,1639,0.060692464,0.083333333,0.070233325,0.031086426,0.551164729,0.041759416,0.096293081,0.073366251,0.926633749,0.903706919,0.076314149,0.096293081,0.08288007,0.020975211,0.522890799,0.063876272,0.033071012,0.096293081,1808.393,0.396,1806.96875,0.390625,1806968.75,390.625,1.87E+08,3.51E+07,3906311,29.28051451,13.876778,'Number of leaves: 106349\nSize of the tree: 211917\n',211917,106349,106349
dataset_thema09-weka,1,10,weka.classifiers.rules.SMO,'-C 0.25 -M 2',-2.17733E+17,2.02E+07,456204,50689,4943,45746,0,11.51864273,88.48135727,0,0.023687204,0.050117594,0.180329868,98.53060578,113.0769235,229374.0114,3.78E+07,-3.76E+07,4.52512402,746.5685825,-742.0434585,20167.83715,0.397874039,8.792555453,0.07885906,141,0.046236273,2261,0.953763727,46640,0.92114094,1647,0.058701082,0.07885906,0.067303103,0.028324488,0.54756,0.041517041,0.097516226,0.073592061,0.926407939,0.902483774,0.078296754,0.097516226,0.083976627,0.022268065,0.524539749,0.064425944,0.0352637,0.097516226,1786.48,0.461,1784.921875,0.4375,1784921.875,437.5,1.86E+08,3.51E+07,3906311,29.93943459,14.39226913,'Number of leaves: 105718\nSize of the tree: 210616\n',210616,105718,105718
