Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
dataset_thema09-weka,1,1,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456203,50690,46130,4560,0,72.97691852,27.02308148,0,0.011920594,0.05025745,0.224100874,98.80562677,140.5239012,229377.3802,885995.3,-656617.9198,4.525101207,17.47869994,-12.95359873,9441.34065,0.186256474,4.116073103,0.055928412,100,0.033884095,1657,0.966115905,47245,0.944071588,1688,0.056915196,0.055928412,0.056417489,0.022230893,0.510478897,0.036468844,0.070230815,0.058106947,0.941893053,0.929769185,0.070240435,0.070230815,0.070229687,0.012133702,0.506081995,0.060034265,0.032747813,0.070230815,0.161,2891.072,0.15625,2861.421875,156.25,2861421.875,3.51E+07,3.51E+07,3906388,7.038863681,2.709100894,?,,,
dataset_thema09-weka,1,2,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456203,50690,46115,4575,0,72.94732689,27.05267311,0,0.011769483,0.050245721,0.224073514,98.7825402,140.506701,229379.3101,885789.5074,-656410.1973,4.525139279,17.47464011,-12.94950083,9408.906696,0.185616624,4.101898594,0.057606264,103,0.03355691,1641,0.96644309,47261,0.942393736,1685,0.059059633,0.057606264,0.058323896,0.024339892,0.511497834,0.036629626,0.070526731,0.058551411,0.941448589,0.929473269,0.070058631,0.070526731,0.070285152,0.011968928,0.505957661,0.060015502,0.031566042,0.070526731,0.184,2922.201,0.1875,2888.34375,187.5,2888343.75,3.51E+07,3.51E+07,3906388,7.060564214,2.709207531,?,,,
dataset_thema09-weka,1,3,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456203,50690,46033,4657,0,72.78555928,27.21444072,0,0.014346406,0.050159352,0.223893207,98.61254151,140.3933199,229384.1771,884244.7637,-654860.5866,4.525235294,17.44416579,-12.91893049,9827.432819,0.193873206,4.284267967,0.063794068,114,0.035580639,1740,0.964419361,47163,0.936205932,1673,0.061488673,0.063794068,0.062620159,0.027717943,0.512820882,0.036792126,0.072144407,0.057535889,0.942464111,0.927855593,0.072451192,0.072144407,0.072289828,0.014581754,0.507335357,0.060326239,0.033377584,0.072144407,0.132,2638.446,0.125,2634.828125,125,2634828.125,3.51E+07,3.51E+07,3906388,7.220359045,2.708087847,?,,,
dataset_thema09-weka,1,4,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46110,4579,0,72.93929649,27.06070351,0,0.012571016,0.050238715,0.224060258,98.76866241,140.498223,229376.6387,885642.2614,-656265.6227,4.52517585,17.47207997,-12.94690411,9491.577335,0.187251225,4.137987805,0.0576385,103,0.034886099,1706,0.965113901,47196,0.9423615,1684,0.056937535,0.0576385,0.057285873,0.022618716,0.510852289,0.036464684,0.070607035,0.057810158,0.942189842,0.929392965,0.07090833,0.070607035,0.070751977,0.012834141,0.506433715,0.060131304,0.032204873,0.070607035,0.133,2633.514,0.125,2631.625,125,2631625,3.51E+07,3.51E+07,3906311,7.074513208,2.708994382,?,,,
dataset_thema09-weka,1,5,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46076,4613,0,72.8722208,27.1277792,0,0.013030825,0.050199795,0.223979934,98.69200464,140.4476283,229376.6777,884963.2863,-655586.6086,4.525176621,17.45868505,-12.93350842,9691.71658,0.191199601,4.225240628,0.066032457,118,0.033740951,1650,0.966259049,47252,0.933967543,1669,0.066742081,0.066032457,0.066385373,0.032458249,0.515978264,0.037354147,0.071277792,0.058065198,0.941934802,0.928722208,0.071233254,0.071277792,0.071251721,0.013199451,0.506653631,0.060131165,0.033352775,0.071277792,0.136,2634.736,0.140625,2632.515625,140.625,2632515.625,3.51E+07,3.51E+07,3906311,7.14356172,2.708407869,?,,,
dataset_thema09-weka,1,6,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46979,4710,0,72.68085778,27.31914222,0,0.01494066,0.050098496,0.223743562,98.49282058,140.2993569,229378.8976,883194.3498,-653815.4522,4.525220415,17.42378721,-12.89856679,10008.83224,0.197455705,4.363449448,0.060436486,108,0.036153941,1768,0.963846059,47134,0.939563514,1679,0.057569296,0.060436486,0.058968059,0.023721144,0.51328103,0.036698778,0.073191422,0.057966465,0.942033535,0.926808578,0.072976373,0.073191422,0.073075748,0.015185753,0.507598333,0.060356162,0.033542451,0.073191422,0.132,2634.835,0.125,2633.234375,125,2633234.375,3.51E+07,3.51E+07,3906311,7.330979108,2.709314298,?,,,
dataset_thema09-weka,1,7,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46011,3678,0,72.74398785,27.25601215,0,0.014205814,0.050131552,0.223834685,98.55767867,140.3562911,229382.7914,883789.7289,-654406.9374,4.525297233,17.43553293,-12.9102357,9981.083153,0.196908267,4.351278093,0.060996083,109,0.034293076,1677,0.965706924,47225,0.939003917,1678,0.061030235,0.060996083,0.061013154,0.026710208,0.513121185,0.036799818,0.072560122,0.058188787,0.941811213,0.927439878,0.072370176,0.072560122,0.072460368,0.014377238,0.507168716,0.060161884,0.034711417,0.072560122,0.191,2620.083,0.140625,2617.765625,140.625,2617765.625,3.51E+07,3.51E+07,3906311,7.265876226,2.707768038,?,,,
dataset_thema09-weka,1,8,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46010,4679,0,72.74201503,27.25798497,0,0.014593535,0.050132085,0.223833496,98.55908035,140.3561116,229375.5079,883801.7281,-654426.2201,4.525153543,17.43576966,-12.91061611,9975.777977,0.196803606,4.349103384,0.059876889,107,0.033679604,1647,0.966320396,47255,0.940123111,1680,0.061003421,0.059876889,0.060434905,0.026433658,0.513871295,0.036865522,0.07257985,0.057776207,0.942223793,0.92742015,0.07278133,0.07257985,0.072675998,0.014825617,0.507390977,0.060257568,0.034464192,0.07257985,0.136,2627.589,0.140625,2625.640625,140.625,2625640.625,3.51E+07,3.51E+07,3906311,7.265876226,2.707981315,?,,,
dataset_thema09-weka,1,9,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46130,4560,0,72.97691852,27.02308148,0,0.013130785,0.050183267,0.223943631,98.65974113,140.4252315,229374.5759,884717.8952,-655343.3193,4.525135156,17.45384393,-12.92870878,9585.3846,0.189101868,4.178921993,0.058724832,105,0.03576614,1749,0.96423386,47152,0.941275168,1683,0.056634304,0.058724832,0.057660626,0.02256157,0.511871804,0.036578868,0.071613171,0.0581747,0.9418253,0.928386829,0.0712977,0.071613171,0.071450117,0.013410441,0.506673401,0.060239078,0.031303247,0.071613171,0.149,2631.168,0.15625,2629.0625,156.25,2629062.5,3.51E+07,3.51E+07,3906311,7.169208309,2.70835455,?,,,
dataset_thema09-weka,1,10,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46115,4575,0,72.94732689,27.05267311,0,0.016185566,0.050039317,0.223625577,98.37671318,140.2257571,229374.0114,882099.7897,-652725.7783,4.52512402,17.40219357,-12.87706955,10244.35506,0.202102134,4.466223088,0.058165548,104,0.034907262,1707,0.965092738,47194,0.941834452,1684,0.057426836,0.058165548,0.057793832,0.023115559,0.510590726,0.036447377,0.074375111,0.057900508,0.942099492,0.925624889,0.074240089,0.074375111,0.074293597,0.016479422,0.508253008,0.060448702,0.034773793,0.074375111,0.135,2625.221,0.125,2623.515625,125,2623515.625,3.51E+07,3.51E+07,3906311,7.443429541,2.708034634,?,,,
