Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,1,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43444,7246,0,85.70526731,14.29473269,0,0.028642536,0.050215025,0.158633258,98.72221912,99.47200956,229377.3802,222536.3018,6841.07838,4.525101207,4.390142075,0.134959132,17745.57043,0.3500803,7.736408192,0,0,2.04E-05,1,0.999979551,48901,1,1788,0,0,0,-8.49E-04,0.733140641,0.079567366,0.142947327,0.114747284,0.885252716,0.857052673,NaN,0.142947327,NaN,NaN,0.621908396,0.086837747,NaN,0.142947327,0.249,0.539,0.25,0.375,250,375,22355,3.51E+07,3906388,94.79581772,75.2976492,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,2,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43449,7241,0,85.71513119,14.28486881,0,0.031554084,0.050222044,0.158672572,98.73599201,99.49663044,229379.3101,222797.2737,6582.036347,4.525139279,4.395290466,0.129848813,17680.6384,0.348799337,7.708035392,0,0,4.09E-05,2,0.999959102,48900,1,1788,0,0,0,-0.00120111,0.715661034,0.072658663,0.142848688,0.111796877,0.888203123,0.857151312,NaN,0.142848688,NaN,NaN,0.62000441,0.086086537,NaN,0.142848688,0.243,0.455,0.25,0.375,250,375,22355,3.51E+07,3906388,94.75241665,75.28405304,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,3,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43331,7359,0,85.48234366,14.51765634,0,0.034281202,0.050207157,0.158602932,98.70652528,99.45273651,229384.1771,222330.8021,7053.374928,4.525235294,4.386088028,0.139147266,17850.65191,0.352153322,7.78198921,0,0,2.04E-05,1,0.999979551,48902,1,1787,0,0,0,-8.49E-04,0.739246339,0.076987659,0.145176563,0.111461231,0.888538769,0.854823437,NaN,0.145176563,NaN,NaN,0.623036447,0.087412244,NaN,0.145176563,0.255,0.378,0.25,0.390625,250,390.625,22355,3.51E+07,3906388,94.79779049,75.34105026,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,4,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43391,7298,0,85.60239894,14.39760106,0,0.032921418,0.050219957,0.158654292,98.73178571,99.48505046,229376.6387,222687.7802,6688.858449,4.52517585,4.393217073,0.131958777,17683.08555,0.348854496,7.709192031,0,0,2.04E-05,1,0.999979551,48901,1,1787,0,0,0,-8.49E-04,0.724322393,0.074690506,0.143976011,0.111544751,0.888455249,0.856023989,NaN,0.143976011,NaN,NaN,0.6206631,0.086711687,NaN,0.143976011,0.247,0.497,0.25,0.375,250,375,22355,3.51E+07,3906311,94.7621772,75.25269356,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,5,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43511,7178,0,85.8391367,14.1608633,0,0.030097783,0.0502085,0.158624379,98.70911979,99.46613226,229376.6777,222454.3303,6922.34741,4.525176621,4.38861154,0.136565081,17803.86043,0.351237161,7.761844232,5.60E-04,1,4.09E-05,2,0.999959102,48900,0.999440403,1786,0.333333333,5.60E-04,0.001117318,0.012434729,0.738538776,0.078767484,0.141608633,0.112012004,0.887987996,0.858391367,NaN,0.141608633,NaN,NaN,0.621720124,0.087464018,NaN,0.141608633,0.25,0.381,0.25,0.375,250,375,22355,3.51E+07,3906311,94.70299276,75.27466112,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,6,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43484,7205,0,85.7858707,14.2141293,0,0.031078461,0.050213585,0.158642373,98.71908227,99.47737795,229378.8976,222584.533,6794.364569,4.525220415,4.391180197,0.134040217,17759.53359,0.350362674,7.74244439,0,0,2.04E-05,1,0.999979551,48901,1,1787,0,0,0,-8.49E-04,0.726632931,0.075286001,0.142141293,0.111570288,0.888429712,0.857858707,NaN,0.142141293,NaN,NaN,0.621288612,0.086536671,NaN,0.142141293,0.323,0.374,0.3125,0.359375,312.5,359.375,22355,3.51E+07,3906311,94.72666654,75.17666022,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,7,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43467,7222,0,85.75233285,14.24766715,0,0.031019776,0.050220472,0.158652045,98.73249421,99.48329725,229382.7914,222613.759,6769.032462,4.525297233,4.391756771,0.133540462,17702.64999,0.349240466,7.717514415,0,0,0,0,1,48902,1,1787,NaN,0,NaN,NaN,0.731098962,0.078479891,0.142476671,0.111893404,0.888106596,0.857523329,NaN,0.142476671,NaN,NaN,0.620814064,0.086305494,NaN,0.142476671,0.26,0.369,0.25,0.375,250,375,22355,3.51E+07,3906311,94.63591706,75.20619912,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,8,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43398,7291,0,85.61620864,14.38379136,0,0.032520249,0.050202247,0.158606837,98.69701798,99.45535133,229375.5079,222370.1771,7005.330841,4.525153543,4.386951352,0.138202191,17908.26413,0.353296852,7.807400317,0,0,6.13E-05,3,0.999938653,48899,1,1787,0,0,0,-0.001470671,0.72745693,0.075283454,0.143837914,0.111852982,0.888147018,0.856162086,NaN,0.143837914,NaN,NaN,0.623029803,0.087555313,NaN,0.143837914,0.27,0.375,0.25,0.375,250,375,22355,3.51E+07,3906311,94.78782379,75.30707926,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,9,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43498,7191,0,85.81349011,14.18650989,0,0.029697049,0.050224734,0.158650136,98.74126414,99.48254391,229374.5759,222811.5804,6562.995486,4.525135156,4.395659422,0.129475734,17608.69328,0.347386875,7.676828704,0,0,6.13E-05,3,0.999938652,48898,1,1788,0,0,0,-0.001471098,0.723391384,0.077193598,0.141865099,0.112641178,0.887358822,0.858134901,NaN,0.141865099,NaN,NaN,0.619297291,0.086837575,NaN,0.141865099,0.243,0.368,0.25,0.359375,250,359.375,22355,3.51E+07,3906311,94.76612283,75.34530921,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,1,10,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43437,7252,0,85.69314841,14.30685159,0,0.031532691,0.050213427,0.158627755,98.71901261,99.46848355,229374.0114,222459.9059,6914.105503,4.52512402,4.388721536,0.136402484,17746.20166,0.35009966,7.736797009,5.59E-04,1,2.04E-05,1,0.999979551,48900,0.999440716,1787,0.5,5.59E-04,0.001117318,0.015824676,0.734126274,0.076771181,0.143068516,0.112022699,0.887977301,0.856931484,NaN,0.143068516,NaN,NaN,0.621670231,0.087298308,NaN,0.143068516,0.256,0.37,0.25,0.375,250,375,22355,3.51E+07,3906311,94.91013829,75.33576505,?
